SecurityId;SentTimestamp;ExecutedTimestamp;ExecPrice;Qty;Side;Type
FutureB;1544189839885874917;1544189839886874917;10882.000000;1.000000;BUY;Market
FutureA;1544189839885874917;1544189839925874917;10880.500000;1.000000;SELL;Market
FutureB;1544189955242011030;1544189955243011030;10890.000000;1.000000;BUY;Market
FutureA;1544189955242011030;1544189955282011030;10889.000000;1.000000;SELL;Market
FutureB;1544190076600147000;1544190076601147000;10907.000000;1.000000;SELL;Market
FutureA;1544190076600147000;1544190076640147000;10906.500000;1.000000;BUY;Market
FutureB;1544190116651281262;1544190116652281262;10922.000000;1.000000;BUY;Market
FutureA;1544190116651281262;1544190116691281262;10921.000000;1.000000;SELL;Market
FutureB;1544190370914471980;1544190370915471980;10903.000000;1.000000;SELL;Market
FutureA;1544190370914471980;1544190370954471980;10903.500000;1.000000;BUY;Market
FutureB;1544190543205527713;1544190543206527713;10906.000000;1.000000;BUY;Market
FutureA;1544190543205527713;1544190543245527713;10905.000000;1.000000;SELL;Market
FutureB;1544190890570512511;1544190890571512511;10899.000000;1.000000;SELL;Market
FutureA;1544190890570512511;1544190890610512511;10900.000000;1.000000;BUY;Market
FutureB;1544190899611139975;1544190899612139975;10898.000000;1.000000;SELL;Market
FutureA;1544190899611139975;1544190899651139975;10899.000000;1.000000;BUY;Market
FutureB;1544191133023789473;1544191133024789473;10892.000000;1.000000;BUY;Market
FutureA;1544191133023789473;1544191133063789473;10890.000000;1.000000;SELL;Market
FutureB;1544191589886541031;1544191589887541031;10898.000000;1.000000;SELL;Market
FutureA;1544191589886541031;1544191589926541031;10898.500000;1.000000;BUY;Market
FutureB;1544191793715774449;1544191793716774449;10895.000000;1.000000;BUY;Market
FutureA;1544191793715774449;1544191793755774449;10893.500000;1.000000;SELL;Market
FutureB;1544191813611465695;1544191813612465695;10896.000000;1.000000;SELL;Market
FutureA;1544191813611465695;1544191813651465695;10896.500000;1.000000;BUY;Market
FutureB;1544192189241782009;1544192189242782009;10894.000000;1.000000;BUY;Market
FutureA;1544192189241782009;1544192189281782009;10893.500000;1.000000;SELL;Market
FutureB;1544192204961682619;1544192204962682619;10895.000000;1.000000;BUY;Market
FutureA;1544192204961682619;1544192205001682619;10894.500000;1.000000;SELL;Market
FutureB;1544192349554046933;1544192349555046933;10894.000000;1.000000;SELL;Market
FutureA;1544192349554046933;1544192349594046933;10895.500000;1.000000;BUY;Market
FutureB;1544192381233930773;1544192381234930773;10894.000000;1.000000;BUY;Market
FutureA;1544192381233930773;1544192381273930773;10892.500000;1.000000;SELL;Market
FutureB;1544192693567797489;1544192693568797489;10891.000000;1.000000;SELL;Market
FutureA;1544192693567797489;1544192693607797489;10892.000000;1.000000;BUY;Market
FutureA;1544192719367508774;1544192719407508774;10897.000000;1.000000;BUY;Market
FutureB;1544192719367508774;1544192719368508774;10896.000000;1.000000;SELL;Market
FutureB;1544193019414249016;1544193019415249016;10893.000000;1.000000;BUY;Market
FutureA;1544193019414249016;1544193019454249016;10892.000000;1.000000;SELL;Market
FutureB;1544193151804201262;1544193151805201262;10903.000000;1.000000;BUY;Market
FutureA;1544193151804201262;1544193151844201262;10902.500000;1.000000;SELL;Market
FutureB;1544193483792343791;1544193483793343791;10913.000000;1.000000;SELL;Market
FutureA;1544193483792343791;1544193483832343791;10914.500000;1.000000;BUY;Market
FutureB;1544193540480630990;1544193540481630990;10914.000000;1.000000;SELL;Market
FutureA;1544193540480630990;1544193540520630990;10915.000000;1.000000;BUY;Market
FutureB;1544193643801844030;1544193643802844030;10915.000000;1.000000;BUY;Market
FutureA;1544193643801844030;1544193643841844030;10914.000000;1.000000;SELL;Market
FutureB;1544194185061810168;1544194185062810168;10902.000000;1.000000;SELL;Market
FutureA;1544194185061810168;1544194185101810168;10902.500000;1.000000;BUY;Market
FutureB;1544194296031536323;1544194296032536323;10907.000000;1.000000;BUY;Market
FutureA;1544194296031536323;1544194296071536323;10907.500000;1.000000;SELL;Market
FutureA;1544194688952060999;1544194688992060999;10907.500000;1.000000;BUY;Market
FutureB;1544194688952060999;1544194688953060999;10907.000000;1.000000;SELL;Market
FutureB;1544194960571008242;1544194960572008242;10909.000000;1.000000;BUY;Market
FutureA;1544194960571008242;1544194960611008242;10908.500000;1.000000;SELL;Market
FutureB;1544195358959664615;1544195358960664615;10903.000000;1.000000;SELL;Market
FutureA;1544195358959664615;1544195358999664615;10905.000000;1.000000;BUY;Market
FutureB;1544195591997805626;1544195591998805626;10899.000000;1.000000;BUY;Market
FutureA;1544195591997805626;1544195592037805626;10897.500000;1.000000;SELL;Market
FutureB;1544195593043164363;1544195593044164363;10899.000000;1.000000;BUY;Market
FutureA;1544195593043164363;1544195593083164363;10898.000000;1.000000;SELL;Market
FutureB;1544195857614317745;1544195857615317745;10872.000000;1.000000;SELL;Market
FutureA;1544195857614317745;1544195857654317745;10873.500000;1.000000;BUY;Market
FutureB;1544195871070727486;1544195871071727486;10870.000000;1.000000;SELL;Market
FutureA;1544195871070727486;1544195871110727486;10871.000000;1.000000;BUY;Market
FutureB;1544195952148995045;1544195952149995045;10868.000000;1.000000;BUY;Market
FutureA;1544195952148995045;1544195952188995045;10867.500000;1.000000;SELL;Market
FutureB;1544196024275314689;1544196024276314689;10869.000000;1.000000;BUY;Market
FutureA;1544196024275314689;1544196024315314689;10867.000000;1.000000;SELL;Market
FutureB;1544196095494293194;1544196095495293194;10867.000000;1.000000;SELL;Market
FutureA;1544196095494293194;1544196095534293194;10868.500000;1.000000;BUY;Market
FutureB;1544196130687267257;1544196130688267257;10866.000000;1.000000;BUY;Market
FutureA;1544196130687267257;1544196130727267257;10864.500000;1.000000;SELL;Market
FutureB;1544196318810450557;1544196318811450557;10842.000000;1.000000;SELL;Market
FutureA;1544196318810450557;1544196318850450557;10841.500000;1.000000;BUY;Market
FutureB;1544196333975307873;1544196333976307873;10837.000000;1.000000;SELL;Market
FutureA;1544196333975307873;1544196334015307873;10838.000000;1.000000;BUY;Market
FutureB;1544196506714183857;1544196506715183857;10850.000000;1.000000;BUY;Market
FutureA;1544196506714183857;1544196506754183857;10848.500000;1.000000;SELL;Market
FutureB;1544196750651066943;1544196750652066943;10850.000000;1.000000;BUY;Market
FutureA;1544196750651066943;1544196750691066943;10848.500000;1.000000;SELL;Market
FutureB;1544196754945987894;1544196754946987894;10848.000000;1.000000;SELL;Market
FutureA;1544196754945987894;1544196754985987894;10849.500000;1.000000;BUY;Market
FutureB;1544196763746493582;1544196763747493582;10851.000000;1.000000;SELL;Market
FutureA;1544196763746493582;1544196763786493582;10852.500000;1.000000;BUY;Market
FutureB;1544196788986412656;1544196788987412656;10853.000000;1.000000;BUY;Market
FutureA;1544196788986412656;1544196789026412656;10851.500000;1.000000;SELL;Market
FutureB;1544196799815831127;1544196799816831127;10850.000000;1.000000;BUY;Market
FutureA;1544196799815831127;1544196799855831127;10849.000000;1.000000;SELL;Market
FutureB;1544197385188931453;1544197385189931453;10851.000000;1.000000;SELL;Market
FutureA;1544197385188931453;1544197385228931453;10851.500000;1.000000;BUY;Market
FutureB;1544197438759838459;1544197438760838459;10850.000000;1.000000;SELL;Market
FutureA;1544197438759838459;1544197438799838459;10851.000000;1.000000;BUY;Market
FutureB;1544198041168944198;1544198041169944198;10848.000000;1.000000;BUY;Market
FutureA;1544198041168944198;1544198041208944198;10847.000000;1.000000;SELL;Market
FutureB;1544198051052410144;1544198051053410144;10847.000000;1.000000;SELL;Market
FutureA;1544198051052410144;1544198051092410144;10847.500000;1.000000;BUY;Market
FutureB;1544198255035742337;1544198255036742337;10852.000000;1.000000;BUY;Market
FutureA;1544198255035742337;1544198255075742337;10850.500000;1.000000;SELL;Market
FutureB;1544198541561627316;1544198541562627316;10829.000000;1.000000;BUY;Market
FutureA;1544198541561627316;1544198541601627316;10827.500000;1.000000;SELL;Market
FutureB;1544198553037281787;1544198553038281787;10830.000000;1.000000;SELL;Market
FutureA;1544198553037281787;1544198553077281787;10830.500000;1.000000;BUY;Market
FutureB;1544198654417489606;1544198654418489606;10825.000000;1.000000;SELL;Market
